"filename","percentage_match","percentage_match_excl_singles","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_excl_singles"
"resampled_1.nex",72.22,66.67,16.67,1.29,1.07
"resampled_2.nex",72.22,66.67,16.67,1.29,1.07
"resampled_3.nex",72.22,66.67,16.67,1.29,1.07
"resampled_4.nex",72.22,66.67,16.67,1.29,1.07
"resampled_5.nex",72.22,66.67,16.67,1.29,1.07
"resampled_6.nex",72.22,66.67,16.67,1.29,1.07
"resampled_7.nex",72.22,66.67,16.67,1.29,1.07
"resampled_8.nex",72.22,66.67,16.67,1.29,1.07
"resampled_9.nex",72.22,66.67,16.67,1.29,1.07
"resampled_10.nex",72.22,66.67,16.67,1.29,1.07
